Id,Year,Country,Consumption
1130,1998,Australia,104.0
1131,1999,Australia,106.0
1132,2000,Australia,108.0
1133,2001,Australia,106.0
1134,2002,Australia,109.0
1135,2003,Australia,111.0
1136,2004,Australia,113.0
1137,2005,Australia,113.0
1138,2006,Australia,118.0
1139,2007,Australia,121.0
1140,2008,Australia,126.0
1141,2009,Australia,126.0
1142,2010,Australia,126.0
1143,2011,Australia,127.0
1144,2012,Australia,126.0
1145,2013,Australia,127.0
1146,2014,Australia,127.0
1147,2015,Australia,127.0
1148,2016,Australia,127.0
1149,2017,Australia,128.0
1150,2018,Australia,128.0
1151,2019,Australia,129.0
1152,2020,Australia,126.0
1155,1990,New Zealand,14.0
1156,1991,New Zealand,14.0
1157,1992,New Zealand,14.0
1158,1993,New Zealand,15.0
1159,1994,New Zealand,15.0
1160,1995,New Zealand,15.0
1161,1996,New Zealand,16.0
1162,1997,New Zealand,16.0
1163,1998,New Zealand,16.0
1164,1999,New Zealand,17.0
1165,2000,New Zealand,17.0
1166,2001,New Zealand,17.0
1167,2002,New Zealand,17.0
1168,2003,New Zealand,17.0
1169,2004,New Zealand,18.0
1170,2005,New Zealand,17.0
1171,2006,New Zealand,17.0
1172,2007,New Zealand,17.0
1173,2008,New Zealand,18.0
1174,2009,New Zealand,18.0
1175,2010,New Zealand,19.0
1176,2011,New Zealand,18.0
1177,2012,New Zealand,19.0
1178,2013,New Zealand,19.0
1179,2014,New Zealand,21.0
1180,2015,New Zealand,21.0
1181,2016,New Zealand,21.0
1182,2017,New Zealand,21.0
1183,2018,New Zealand,20.0
1184,2019,New Zealand,21.0
1185,2020,New Zealand,21.0
1188,1990,Algeria,22.0
1189,1991,Algeria,23.0
1190,1992,Algeria,24.0
1191,1993,Algeria,24.0
1192,1994,Algeria,23.0
1193,1995,Algeria,24.0
1194,1996,Algeria,23.0
1195,1997,Algeria,24.0
1196,1998,Algeria,25.0
1197,1999,Algeria,27.0
1198,2000,Algeria,27.0
1199,2001,Algeria,27.0
1200,2002,Algeria,29.0
1201,2003,Algeria,31.0
1202,2004,Algeria,31.0
1203,2005,Algeria,32.0
1204,2006,Algeria,35.0
1205,2007,Algeria,37.0
1206,2008,Algeria,37.0
1207,2009,Algeria,41.0
1208,2010,Algeria,42.0
1209,2011,Algeria,43.0
1210,2012,Algeria,47.0
1211,2013,Algeria,49.0
1212,2014,Algeria,54.0
1213,2015,Algeria,56.0
1214,2016,Algeria,56.0
1215,2017,Algeria,57.0
1216,2018,Algeria,61.0
1217,2019,Algeria,65.0
1218,2020,Algeria,59.0
1221,1990,Egypt,33.0
1222,1991,Egypt,33.0
1223,1992,Egypt,34.0
1224,1993,Egypt,35.0
1225,1994,Egypt,34.0
1226,1995,Egypt,36.0
1227,1996,Egypt,38.0
1228,1997,Egypt,40.0
1229,1998,Egypt,42.0
1230,1999,Egypt,43.0
1231,2000,Egypt,41.0
1232,2001,Egypt,47.0
1233,2002,Egypt,48.0
1234,2003,Egypt,50.0
1235,2004,Egypt,54.0
1236,2005,Egypt,62.0
1237,2006,Egypt,66.0
1238,2007,Egypt,70.0
1239,2008,Egypt,73.0
1240,2009,Egypt,75.0
1241,2010,Egypt,74.0
1242,2011,Egypt,77.0
1243,2012,Egypt,79.0
1244,2013,Egypt,78.0
1245,2014,Egypt,80.0
1246,2015,Egypt,81.0
1247,2016,Egypt,88.0
1248,2017,Egypt,93.0
1249,2018,Egypt,96.0
1250,2019,Egypt,97.0
1251,2020,Egypt,92.0
1254,1990,Nigeria,66.0
1255,1991,Nigeria,70.0
1256,1992,Nigeria,72.0
1257,1993,Nigeria,74.0
1258,1994,Nigeria,72.0
1259,1995,Nigeria,73.0
1260,1996,Nigeria,76.0
1261,1997,Nigeria,79.0
1262,1998,Nigeria,80.0
1263,1999,Nigeria,83.0
1264,2000,Nigeria,87.0
1265,2001,Nigeria,91.0
1266,2002,Nigeria,94.0
1267,2003,Nigeria,98.0
1268,2004,Nigeria,99.0
1269,2005,Nigeria,105.0
1270,2006,Nigeria,106.0
1271,2007,Nigeria,110.0
1272,2008,Nigeria,113.0
1273,2009,Nigeria,111.0
1274,2010,Nigeria,127.0
1275,2011,Nigeria,139.0
1276,2012,Nigeria,140.0
1277,2013,Nigeria,143.0
1278,2014,Nigeria,147.0
1279,2015,Nigeria,145.0
1280,2016,Nigeria,150.0
1281,2017,Nigeria,152.0
1282,2018,Nigeria,160.0
1283,2019,Nigeria,157.0
1284,2020,Nigeria,159.0
1287,1990,South Africa,90.0
1288,1991,South Africa,92.0
1289,1992,South Africa,88.0
1290,1993,South Africa,94.0
1291,1994,South Africa,98.0
1292,1995,South Africa,104.0
1293,1996,South Africa,107.0
1294,1997,South Africa,109.0
1295,1998,South Africa,111.0
1296,1999,South Africa,109.0
1297,2000,South Africa,109.0
1298,2001,South Africa,105.0
1299,2002,South Africa,100.0
1300,2003,South Africa,113.0
1301,2004,South Africa,123.0
1302,2005,South Africa,118.0
1303,2006,South Africa,120.0
1304,2007,South Africa,131.0
1305,2008,South Africa,142.0
1306,2009,South Africa,144.0
1307,2010,South Africa,134.0
1308,2011,South Africa,137.0
1309,2012,South Africa,131.0
1310,2013,South Africa,130.0
1311,2014,South Africa,138.0
1312,2015,South Africa,129.0
1313,2016,South Africa,135.0
1314,2017,South Africa,136.0
1315,2018,South Africa,134.0
1316,2019,South Africa,129.0
1317,2020,South Africa,124.0
1320,1990,Iran,69.0
1321,1991,Iran,77.0
1322,1992,Iran,81.0
1323,1993,Iran,87.0
1324,1994,Iran,97.0
1325,1995,Iran,101.0
1326,1996,Iran,98.0
1327,1997,Iran,109.0
1328,1998,Iran,111.0
1329,1999,Iran,126.0
1330,2000,Iran,123.0
1331,2001,Iran,133.0
1332,2002,Iran,138.0
1333,2003,Iran,143.0
1334,2004,Iran,156.0
1335,2005,Iran,173.0
1336,2006,Iran,180.0
1337,2007,Iran,191.0
1338,2008,Iran,205.0
1339,2009,Iran,204.0
1340,2010,Iran,204.0
1341,2011,Iran,208.0
1342,2012,Iran,218.0
1343,2013,Iran,222.0
1344,2014,Iran,238.0
1345,2015,Iran,238.0
1346,2016,Iran,246.0
1347,2017,Iran,262.0
1348,2018,Iran,266.0
1349,2019,Iran,269.0
1350,2020,Iran,268.0
1353,1990,Kuwait,9.0
1354,1991,Kuwait,3.0
1355,1992,Kuwait,9.0
1356,1993,Kuwait,12.0
1357,1994,Kuwait,14.0
1358,1995,Kuwait,15.0
1359,1996,Kuwait,14.0
1360,1997,Kuwait,15.0
1361,1998,Kuwait,17.0
1362,1999,Kuwait,18.0
1363,2000,Kuwait,19.0
1364,2001,Kuwait,20.0
1365,2002,Kuwait,20.0
1366,2003,Kuwait,21.0
1367,2004,Kuwait,24.0
1368,2005,Kuwait,27.0
1369,2006,Kuwait,25.0
1370,2007,Kuwait,25.0
1371,2008,Kuwait,28.0
1372,2009,Kuwait,29.0
1373,2010,Kuwait,29.0
1374,2011,Kuwait,28.0
1375,2012,Kuwait,29.0
1376,2013,Kuwait,30.0
1377,2014,Kuwait,27.0
1378,2015,Kuwait,33.0
1379,2016,Kuwait,36.0
1380,2017,Kuwait,34.0
1381,2018,Kuwait,34.0
1382,2019,Kuwait,36.0
1383,2020,Kuwait,38.0
1386,1990,Saudi Arabia,58.0
1387,1991,Saudi Arabia,68.0
1388,1992,Saudi Arabia,77.0
1389,1993,Saudi Arabia,80.0
1390,1994,Saudi Arabia,84.0
1391,1995,Saudi Arabia,85.0
1392,1996,Saudi Arabia,90.0
1393,1997,Saudi Arabia,86.0
1394,1998,Saudi Arabia,92.0
1395,1999,Saudi Arabia,94.0
1396,2000,Saudi Arabia,98.0
1397,2001,Saudi Arabia,100.0
1398,2002,Saudi Arabia,114.0
1399,2003,Saudi Arabia,115.0
1400,2004,Saudi Arabia,115.0
1401,2005,Saudi Arabia,123.0
1402,2006,Saudi Arabia,132.0
1403,2007,Saudi Arabia,138.0
1404,2008,Saudi Arabia,151.0
1405,2009,Saudi Arabia,159.0
1406,2010,Saudi Arabia,175.0
1407,2011,Saudi Arabia,184.0
1408,2012,Saudi Arabia,189.0
1409,2013,Saudi Arabia,188.0
1410,2014,Saudi Arabia,207.0
1411,2015,Saudi Arabia,216.0
1412,2016,Saudi Arabia,215.0
1413,2017,Saudi Arabia,219.0
1414,2018,Saudi Arabia,214.0
1415,2019,Saudi Arabia,215.0
1416,2020,Saudi Arabia,209.0
1419,1990,United Arab Emirates,20.0
1420,1991,United Arab Emirates,23.0
1421,1992,United Arab Emirates,22.0
1422,1993,United Arab Emirates,23.0
1423,1994,United Arab Emirates,26.0
1424,1995,United Arab Emirates,28.0
1425,1996,United Arab Emirates,29.0
1426,1997,United Arab Emirates,31.0
1427,1998,United Arab Emirates,32.0
1428,1999,United Arab Emirates,32.0
1429,2000,United Arab Emirates,31.0
1430,2001,United Arab Emirates,40.0
1431,2002,United Arab Emirates,39.0
1432,2003,United Arab Emirates,38.0
1433,2004,United Arab Emirates,42.0
1434,2005,United Arab Emirates,44.0
1435,2006,United Arab Emirates,46.0
1436,2007,United Arab Emirates,50.0
1437,2008,United Arab Emirates,59.0
1438,2009,United Arab Emirates,64.0
1439,2010,United Arab Emirates,61.0
1440,2011,United Arab Emirates,60.0
1441,2012,United Arab Emirates,64.0
1442,2013,United Arab Emirates,68.0
1443,2014,United Arab Emirates,74.0
1444,2015,United Arab Emirates,76.0
1445,2016,United Arab Emirates,79.0
1446,2017,United Arab Emirates,78.0
1447,2018,United Arab Emirates,78.0
1448,2019,United Arab Emirates,83.0
1449,2020,United Arab Emirates,81.0
